Precinct,Black Stopped Rate_2016,Public Schools,Parks
1,56.66666667,18,13
5,45.26315789,13,4
6,45.94594595,5,5
7,40,20,6
9,40.56603774,12,4
10,53.16455696,13,5
13,45.37037037,18,4
14,57.35294118,5,1
17,49.12280702,4,4
18,55.35714286,17,2
19,53.7037037,19,7
20,50,21,2
22,44.44444444,20,1
23,62.63157895,13,5
24,61.36363636,12,2
25,73.93162393,11,8
26,66.1971831,9,4
28,80.53097345,6,2
30,42.73504274,12,3
32,80.93023256,13,4
33,18.46153846,26,2
34,19.54887218,36,8
40,50.4,15,3
41,50.31055901,42,4
42,68.64864865,39,11
43,54.12541254,36,10
44,64,24,8
45,51.28205128,28,4
46,58.13953488,29,6
47,81.09452736,38,1
48,57.77777778,22,6
49,43.10954064,19,1
50,17.9245283,26,7
52,33.57142857,21,7
60,52.87769784,19,6
61,43.18181818,21,6
62,6.4,9,2
63,72.5,20,6
66,18.56540084,24,4
67,96.28252788,15,4
68,23.25581395,20,7
69,88,20,2
70,78.7037037,20,1
71,88.54166667,25,3
72,20.16129032,32,4
73,87.6344086,52,11
75,73.93939394,11,8
76,59.54198473,16,6
77,90.76923077,14,3
78,67.70833333,17,5
79,73.52941176,18,4
81,89.92248062,27,4
83,45.94594595,19,5
84,75.11961722,12,6
88,67.1875,21,8
90,32.79352227,11,5
94,32.87671233,10,7
100,71.08433735,14,1
101,82.56880734,19,8
102,18.26923077,21,3
103,67.64705882,22,8
104,27.90697674,34,7
105,73.99103139,19,6
106,34.96835443,29,5
107,30,22,7
108,26.41509434,28,7
109,23.6,19,13
110,30.5785124,23,10
111,26.77165354,14,4
112,28.57142857,25,5
113,96.46017699,29,5
114,48.42931937,15,21
115,13.23529412,23,3
120,57.99086758,18,14
121,52.63157895,19,4
122,32.53012048,14,4
123,10,,
 ,,,
